UserName,Email,MobileNo,DOB,Country,State,City
Rajkumar,8574991234,25-02-2001,India,Rajasthan,Bikaner
Rajni,Rajni@gmail.com,25-02-2001,India,Rajasthan,Bikaner
Amarinder,Amarinder@gmail.com,8571991230,25-02-,India,Rajasthan,Bikaner
Balram,Balram@gmail.com,778787875645,25-02-1977,India,Rajasthan,Jaipur
Rajkumar,8574991234,25-02-2001,India,Rajasthan,Bikaner
Rajni,Rajni@gmail.com,25-02-2001,India,Rajasthan,Bikaner
Amarinder,Amarinder@gmail.com,8571991230,25-02-,India,Rajasthan,Bikaner
Balram,Balram@gmail.com,778787875645,25-02-1977,India,Rajasthan,Jaipur
Rajkumar,8574991234,25-02-2001,India,Rajasthan,Bikaner
Rajni,Rajni@gmail.com,25-02-2001,India,Rajasthan,Bikaner
Amarinder,Amarinder@gmail.com,8571991230,25-02-,India,Rajasthan,Bikaner
Balram,Balram@gmail.com,778787875645,25-02-1977,India,Rajasthan,Jaipur
Rajkumar,8574991234,25-02-2001,India,Rajasthan,Bikaner
Rajni,Rajni@gmail.com,25-02-2001,India,Rajasthan,Bikaner
Amarinder,Amarinder@gmail.com,8571991230,25-02-,India,Rajasthan,Bikaner
Balram,Balram@gmail.com,778787875645,25-02-1977,India,Rajasthan,Jaipur
Rajkumar,8574991234,25-02-2001,India,Rajasthan,Bikaner
Rajni,Rajni@gmail.com,25-02-2001,India,Rajasthan,Bikaner
Amarinder,Amarinder@gmail.com,8571991230,25-02-,India,Rajasthan,Bikaner
Balram,Balram@gmail.com,778787875645,25-02-1977,India,Rajasthan,Jaipur
Raj,Raj@gmail.com,8574381234,Sun Feb 25 00:00:00 IST 1996,India,Punjab,Amritsar
Bharat,Bharat@gmail.com,7508895295,Fri Feb 25 00:00:00 IST 1994,India,Punjab,Amritsar
Harpreet,Harpreet@gmail.com,9774361234,Wed Feb 21 00:00:00 IST 1996,India,UP,Moradabad
Radha,Radha@gmail.com,8574991234,Sun Feb 25 00:00:00 IST 2001,India,Rajasthan,Bikaner
Amar,Amar@gmail.com,8571991230,Sun Feb 25 00:00:00 IST 2001,India,Rajasthan,Bikaner
Raj,Raj@gmail.com,8574381234,Sun Feb 25 00:00:00 IST 1996,India,Punjab,Amritsar
Raj,Raj@gmail.com,8574381234,Sun Feb 25 00:00:00 IST 1996,India,Punjab,Amritsar
Bharat,Bharat@gmail.com,7508895295,Fri Feb 25 00:00:00 IST 1994,India,Punjab,Amritsar
Sajjan,Sajjan@gmail.com,9034128910,Wed Oct 24 00:00:00 IST 1990,India,Punjab,Rajpur
Rajan,Rajan@gmail.com,9034128910,Wed Oct 24 00:00:00 IST 1990,India,Punjab,Rajpur
Raj,Raj@gmail.com,8574381234,Sun Feb 25 00:00:00 IST 1996,India,Punjab,Amritsar
Bharat,Bharat@gmail.com,7508895295,Fri Feb 25 00:00:00 IST 1994,India,Punjab,Amritsar
Harpreet,Harpreet@gmail.com,9774361234,Wed Feb 21 00:00:00 IST 1996,India,UP,Moradabad
Radha,Radha@gmail.com,8574991234,Sun Feb 25 00:00:00 IST 2001,India,Rajasthan,Bikaner
Amar,Amar@gmail.com,8571991230,Sun Feb 25 00:00:00 IST 2001,India,Rajasthan,Bikaner
Raj,Raj@gmail.com,8574381234,Sun Feb 25 00:00:00 IST 1996,India,Punjab,Amritsar
Raj,Raj@gmail.com,8574381234,Sun Feb 25 00:00:00 IST 1996,India,Punjab,Amritsar
Bharat,Bharat@gmail.com,7508895295,Fri Feb 25 00:00:00 IST 1994,India,Punjab,Amritsar
Sajjan,Sajjan@gmail.com,9034128910,Wed Oct 24 00:00:00 IST 1990,India,Punjab,Rajpur
Rajan,Rajan@gmail.com,9034128910,Wed Oct 24 00:00:00 IST 1990,India,Punjab,Rajpur
Raj,Raj@gmail.com,8574381234,Sun Feb 25 00:00:00 IST 1996,India,Punjab,Amritsar
Bharat,Bharat@gmail.com,7508895295,Fri Feb 25 00:00:00 IST 1994,India,Punjab,Amritsar
Harpreet,Harpreet@gmail.com,9774361234,Wed Feb 21 00:00:00 IST 1996,India,UP,Moradabad
Radha,Radha@gmail.com,8574991234,Sun Feb 25 00:00:00 IST 2001,India,Rajasthan,Bikaner
Amar,Amar@gmail.com,8571991230,Sun Feb 25 00:00:00 IST 2001,India,Rajasthan,Bikaner
Raj,Raj@gmail.com,8574381234,Sun Feb 25 00:00:00 IST 1996,India,Punjab,Amritsar
Raj,Raj@gmail.com,8574381234,Sun Feb 25 00:00:00 IST 1996,India,Punjab,Amritsar
Bharat,Bharat@gmail.com,7508895295,Fri Feb 25 00:00:00 IST 1994,India,Punjab,Amritsar
Sajjan,Sajjan@gmail.com,9034128910,Wed Oct 24 00:00:00 IST 1990,India,Punjab,Rajpur
Rajan,Rajan@gmail.com,9034128910,Wed Oct 24 00:00:00 IST 1990,India,Punjab,Rajpur
