SNo,UserName,Email,MobileNo,DOB,Coutry,State,City
1,Raj,Raj@gmail.com,8574381234,25-02-1996,India,Punjab,Amritsar
2,Bharat,Bharat@gmail.com,7508895295,25-02-1994,India,Punjab,Amritsar
3,Harpreet,Harpreet@gmail.com,9774361234,21-02-1996,India,UP,Moradabad
4,Radha,Radha@gmail.com,8574991234,25-02-2001,India,Rajasthan,Bikaner
5,Rajkumar,8574991234,25-02-2001,India,Rajasthan,Bikaner
6,Amar,Amar@gmail.com,8571991230,25-02-2001,India,Rajasthan,Bikaner
7,Rajni,Rajni@gmail.com,25-02-2001,India,Rajasthan,Bikaner
8,Amarinder,Amarinder@gmail.com,8571991230,25-02-,India,Rajasthan,Bikaner
9,Balram,Balram@gmail.com,778787875645,25-02-1977,India,Rajasthan,Jaipur
10,Raj,Raj@gmail.com,8574381234,25-02-1996,India,Punjab,Amritsar
11,Raj,Raj@gmail.com,8574381234,25-02-1996,India,Punjab,Amritsar
12,Bharat,Bharat@gmail.com,7508895295,25-02-1994,India,Punjab,Amritsar
13,Sajjan,Sajjan@gmail.com,9034128910,24-10-1990,India,Punjab,Rajpur
14,Rajan,Rajan@gmail.com,9034128910,24-10-1990,India,Punjab,Rajpur
